Name,Position,Age,Weight(kg),Height(cm)
A.J. Pierzynski,Catcher,30.17,111.13004,190.5
Toby Hall,Catcher,31.36,108.86208,190.5
Paul Konerko,First Baseman,30.99,97.52228,187.96
Tadahito Iguchi,Second Baseman,32.24,83.91452,175.26
Juan Uribe,Shortstop,27.61,79.3786,180.34
Alex Cintron,Shortstop,28.2,90.264808,187.96
Joe Crede,Third Baseman,28.85,90.7184,185.42
Josh Fields,Third Baseman,24.21,97.52228,185.42
Ryan Sweeney,Outfielder,22.02,90.7184,193.04
Brian N. Anderson,Outfielder,24.97,92.98636,187.96
Luis Terrero,Outfielder,26.78,93.439952,187.96
Pablo Ozuna,Outfielder,32.51,84.368112,177.8
Scott Podsednik,Outfielder,30.95,85.275296,182.88
Jermaine Dye,Outfielder,33.09,99.79024,195.58
Darin Erstad,Outfielder,32.74,95.25432,187.96
Rob Mackowiak,Outfielder,30.69,88.45044,177.8
Jim Thome,Designated Hitter,36.51,110.676448,193.04
Jerry Owens,Designated Hitter,26.03,88.45044,190.5
Charlie Haeger,Starting Pitcher,23.45,90.7184,185.42
Heath Phillips,Starting Pitcher,24.94,90.7184,190.5
Gavin Floyd,Starting Pitcher,24.09,96.161504,193.04
Jose Contreras,Starting Pitcher,35.23,101.604608,193.04
Jon Garland,Starting Pitcher,27.43,95.25432,198.12
Javier Vazquez,Starting Pitcher,30.6,92.98636,187.96
Mark Buehrle,Starting Pitcher,27.94,99.79024,187.96
Mike MacDougal,Relief Pitcher,29.99,88.45044,193.04
David Aardsma,Relief Pitcher,25.17,90.7184,195.58
Andrew Sisco,Relief Pitcher,24.13,117.93392,205.74
Matt Thornton,Relief Pitcher,30.46,103.418976,198.12
Bobby Jenks,Relief Pitcher,25.96,122.46984,190.5
Boone Logan,Relief Pitcher,22.55,90.7184,195.58
Sean Tracey,Relief Pitcher,26.29,95.25432,190.5
Nick Masset,Relief Pitcher,24.79,86.18248,193.04
